2b,to be
2day,today
2nite,tonight
4,for
4u,for you
4ward,forward
a/w,anyway
adn,any day now
afaic,as far as i am concerned
afaik,as far as I know
afk,away from keyboard
aggro,aggresive
aight,alright
aka,as known as
amigo,friend
amz,amazing
app,application
asap,as soon as possible
atm,at the moment
atw,all the way
b-day,birthday
b/c,because
b4,before
bae,before anyone else
bbl,be back later
bc,because
bcuz,because
bday,birthday
becuz,because
bestie,best friend
besty,best friend
bf,boyfriend
bff,best friends forever
bfn,bye for now
bozo,idiot
brb,be right back
bro,brother
bta,but then again
btr,better
bts,behind the scenes
btw,by the way
buddy,friend
c'mon,came on
cba,can not be asked
congrats,congratulations
coz,beacause
cu,see you
cul,see you later
cutie,cute
cuz,because
cya,see ya
deets,details
dm,direct message
dunno,do not know
dwi,deal with it
dyd,do not you dare
eu,europe
ez,easy
f9,fine
fav,favorite
fb,facebook
fml,fuck my life
freakin,freaking
friggin,freaking
ftw,for the win
fu,fuck you
fwiw,for what it is worth
fyi,for your information
g2g,got to go
g2g,got to go 
getcha,understand 
gf,girlfriend 
gfn,gone for now
gg,good game
gl,good luck
goof,idiot
goofy,idiot
gr8,great
gtg,got to go
gud,good
h8,hate
hml,hate my life
hmu,hit me up
hoas,hold on a second
hru,how are you
hth,hope this helps
hw,homework
i'ma,i am going to
ic,i see 
icymi,in case you missed it
idgf,i do not give a fuck
idk,i do not know
ikr,i know right
ilt,i like that
ily,i love you
ima,i am going to
imho,in my humble opinion
imma,i am going to
imo,in my opinion 
imy,i miss you
irl,in real life
istg,i swear to god
jk,just kidding
jr,junior
k,ok
kinda,kind of
kms,kill myself
kmt,kiss my teeth
kts,kill yourself
l8,late
l8r,later
lbh,let's be honest
lil,little 
lmao,laugh my ass off
lmk,let me know
lol,laugh out loud
lolz,laugh out loud
lotta,lot of
lsr,loser
lul,laugh
luv,love
lux,luxury
lvl,level
m2,me too
m8,mate
me2,me too
milf,mother i would like to fuck
min,minut
mmb,message me back
msg,message
mtf,more to follow
mvp,most valueable player
n,and
n/a,not applicable
na, not applicable
nah,no
ngl,not gonna lie
nope,no
np,no problem
nsfw,not safe for work
nuh,no
nvm,never mind
nvm,nevermind
o,hug
omg,oh my god
omw,on my way
ooc,out of character
ootd,outfit of the day
osm,awesome
perv,pervert
pervy,pervert
phat,pretty hot and tempting
pj,private jet
plOx,please
plox,please
pls,please
plz,please
ppl,people
pro,professional
pwnd,owned
qotd,quote of the day
r,are
rlly,really
rly,really
rn,right now
rofl,roll on the floor laughing
roflmao,rolling on the floor laughing my ass off
rolf,roll on the floor laughing
rpg,role playing games
ru,are you
scrub,loser
sec,second
shoulda,should have
smd,suck my duck
smexy,smart and sexy
smh,shaking my head
sotd, scent of the day
sry,sorry
stfu,shut the fuck up
str8,straight
sux,sucks
swag,style
tba,to be announced
tbc,to be continued
tbd,to be decided
tbf,to be fair
tbh,to be honest
tc,take care
tfw,that feeling when
thanx,thanks
thnx,thanks
thx,thanks
tl,timeline
tl;dr,too long did not read
tldr,too long did not read
ttyl,talk to you later 
ty,thank you
tyvm,thank you very much
u,you
ugh,disgusted
ur,you are
vs,versus
w/,with
w8,wait
wanna,want to
wb,welcome back
wfm,works for me 
whoa,surprised
whoah,surprised
wmd,weapon of mass destruction
wot,what
wtaf,what the actual fuck
wtf,what the fuck
wtg,way to go
wu,what is up
wuh,what
wut,what
x,kiss
xd,laughing
xo,hugs and kisses
xoxo,hugs and kisses
xxx,kiss
y,why
yawn,boring
yolo,you only live once
yr,year
yum,good
zzz,sleeping
